chromosome	position	strand	gene_type	gene_name	gene_pos	unconverted	converted	ratio
11	130911696	-	protein_coding	ENSG00000120451(SNX19)	4784	8	156	0.048780488
11	130915905	-	protein_coding	ENSG00000120451(SNX19)	575	8	112	0.066666667
11	134224721	+	protein_coding	ENSG00000151502(VPS26B)	51	8	180	0.042553191
11	134224897	+	protein_coding	ENSG00000151502(VPS26B)	227	29	257	0.101398601
12	1495287	+	protein_coding	ENSG00000082805(ERC1)	504779	14	90	0.134615385
12	2877069	-	protein_coding	ENSG00000111206(FOXM1)	106	7	129	0.051470588
12	2888262	+	protein_coding	ENSG00000171792(RHNO1)	12005	9	132	0.063829787
12	3042446	+	lncRNA	ENSG00000250899	1010	5	57	0.080645161
12	6530683	+	protein_coding	ENSG00000010292(NCAPD2)	37328	5	23	0.178571429
12	6538370	+	protein_coding	ENSG00000111640(GAPDH)	3859	15	484	0.03006012
12	6724690	+	protein_coding	ENSG00000111652(COPS7A)	677	117	775	0.131165919
12	6748225	-	protein_coding	ENSG00000089693(MLF2)	19251	16	175	0.083769634
12	6770667	+	protein_coding	ENSG00000159335(PTMS)	5152	14	236	0.056
12	6849674	-	protein_coding	ENSG00000111665(CDCA3)	1619	10	228	0.042016807
12	6863196	+	protein_coding	ENSG00000111667(USP5)	11049	41	1294	0.03071161
12	6867575	+	protein_coding	ENSG00000111669(TPI1)	457	109	4650	0.022903971
12	6937099	+	protein_coding	ENSG00000111676(ATN1)	12637	11	31	0.261904762
12	6944528	+	protein_coding	ENSG00000111678(C12orf57)	1551	38	1368	0.027027027
12	7070674	+	protein_coding	ENSG00000182326(C1S)	82416	8	34	0.19047619
12	8039940	+	protein_coding	ENSG00000065970(FOXJ2)	7225	5	48	0.094339623
12	12730673	+	protein_coding	ENSG00000178878(APOLD1)	4757	6	75	0.074074074
12	29343242	-	protein_coding	ENSG00000087502(ERGIC2)	37948	33	534	0.058201058
12	31590827	-	protein_coding	ENSG00000170456(DENND5B)	310	28	0	1
12	34190219	-	Other features	.	.	18	0	1
12	39442996	-	protein_coding	ENSG00000139116(KIF21A)	395	9	215	0.040178571
12	40105902	-	protein_coding	ENSG00000151229(SLC2A13)	188	4	5	0.444444444
12	46268566	-	protein_coding	ENSG00000111371(SLC38A1)	1452	13	350	0.035812672
12	48137807	+	protein_coding	ENSG00000152556(PFKM)	32669	96	924	0.094117647
12	48965575	-	protein_coding	ENSG00000169884(WNT10B)	6161	8	31	0.205128205
12	49326688	+	protein_coding	ENSG00000135451(TROAP)	3453	8	217	0.035555556
12	52070204	+	protein_coding	ENSG00000123395(ATG101)	959	32	503	0.059813084
12	52191885	-	protein_coding	ENSG00000167767(KRT80)	130	28	377	0.069135802
12	52233236	+	protein_coding	ENSG00000135480(KRT7)	717	8	104	0.071428571
12	52233546	+	protein_coding	ENSG00000135480(KRT7)	1027	15	1030	0.014354067
12	52241594	+	protein_coding	ENSG00000135480(KRT7)	9075	60	1465	0.039344262
12	52952900	+	protein_coding	ENSG00000111057(KRT18)	4030	24	1064	0.022058824
12	53102118	+	protein_coding	ENSG00000167779(IGFBP6)	4683	90	88	0.505617978
12	53467820	+	protein_coding	ENSG00000197111(PCBP2)	15719	46	5917	0.007714238
12	53501318	+	protein_coding	ENSG00000139546(TARBP2)	398	6	65	0.084507042
12	53505256	+	protein_coding	ENSG00000139546(TARBP2)	4336	40	218	0.15503876
12	54351714	+	protein_coding	ENSG00000111481(COPZ1)	50513	23	701	0.031767956
12	55727232	-	protein_coding	ENSG00000135404(CD63)	2476	53	2499	0.020768025
12	55730429	+	lncRNA	ENSG00000258056(CD63-AS1)	1336	6	93	0.060606061
12	56002639	+	protein_coding	ENSG00000139531(SUOX)	5460	5	25	0.166666667
12	56128419	+	protein_coding	ENSG00000139641(ESYT1)	10170	8	175	0.043715847
12	56158695	+	protein_coding	ENSG00000092841(MYL6)	350	127	16263	0.007748627
12	56160069	+	protein_coding	ENSG00000092841(MYL6)	1724	85	14153	0.00596994
12	56272747	-	protein_coding	ENSG00000062485(CS)	27645	356	1164	0.234210526
12	56434135	-	protein_coding	ENSG00000111602(TIMELESS)	15292	11	279	0.037931034
12	56630169	-	protein_coding	ENSG00000076108(BAZ2A)	6648	7	124	0.053435115
12	56645912	-	protein_coding	ENSG00000110955(ATP5F1B)	73	261	7090	0.035505373
12	57205230	+	protein_coding	ENSG00000123384(LRP1)	76748	7	96	0.067961165
12	57233580	+	protein_coding	ENSG00000182199(SHMT2)	4008	86	1664	0.049142857
12	57233581	+	protein_coding	ENSG00000182199(SHMT2)	4009	175	1595	0.098870056
12	57234242	+	protein_coding	ENSG00000182199(SHMT2)	4670	20	1112	0.017667845
12	57616895	+	protein_coding	ENSG00000240771(ARHGEF25)	6716	6	14	0.3
12	57755217	+	protein_coding	ENSG00000139266(MARCHF9)	115	6	33	0.153846154
12	64759303	-	protein_coding	ENSG00000135677(GNS)	129	17	221	0.071428571
12	67269520	+	protein_coding	ENSG00000111530(CAND1)	163	10	312	0.031055901
12	67269542	+	protein_coding	ENSG00000111530(CAND1)	185	8	168	0.045454545
12	74539707	+	protein_coding	ENSG00000253719(ATXN7L3B)	1873	10	191	0.049751244
12	75689024	-	lncRNA	ENSG00000258077	294992	4	2	0.666666667
12	76559476	-	protein_coding	ENSG00000091039(OSBPL8)	334	94	43	0.686131387
12	79689947	-	protein_coding	ENSG00000177425(PAWR)	1018	15	138	0.098039216
12	89708767	-	protein_coding	ENSG00000070961(ATP2B1)	600	69	225	0.234693878
12	98594056	+	protein_coding	ENSG00000075415(SLC25A3)	466	39	5323	0.007273405
12	98601443	+	protein_coding	ENSG00000075415(SLC25A3)	7853	34	1729	0.019285309
12	98645651	+	protein_coding	ENSG00000120868(APAF1)	362	12	2	0.857142857
12	101877738	+	protein_coding	ENSG00000136048(DRAM1)	159	17	191	0.081730769
12	103943084	+	protein_coding	ENSG00000166598(HSP90B1)	12978	48	3538	0.013385388
12	105330862	+	protein_coding	ENSG00000235162(C12orf75)	95573	35	469	0.069444444
12	106997606	-	protein_coding	ENSG00000008405(CRY1)	95944	23	74	0.237113402
12	108646812	-	protein_coding	ENSG00000110880(CORO1C)	84715	125	559	0.182748538
12	110374029	-	protein_coding	ENSG00000196510(ANAPC7)	29702	13	503	0.025193798
12	111692743	+	protein_coding	ENSG00000111271(ACAD10)	6691	17	17	0.5
12	111842410	+	protein_coding	ENSG00000089022(MAPKAPK5)	183	7	109	0.060344828
12	112382024	-	protein_coding	ENSG00000173064(HECTD4)	416	5	45	0.1
12	112409480	-	protein_coding	ENSG00000089009(RPL6)	9359	17	931	0.017932489
12	116911195	+	protein_coding	ENSG00000174989(FBXW8)	246	5	8	0.384615385
12	120096003	-	protein_coding	ENSG00000111737(RAB35)	21500	10	179	0.052910053
12	120137749	-	protein_coding	ENSG00000089154(GCN1)	56967	10	358	0.027173913
12	120144337	-	protein_coding	ENSG00000089154(GCN1)	50379	25	183	0.120192308
12	120212952	+	lncRNA	ENSG00000255857(PXN-AS1)	11679	14	19	0.424242424
12	120575650	+	protein_coding	ENSG00000022840(RNF10)	42171	31	1425	0.021291209
12	120581131	-	protein_coding	ENSG00000167272(POP5)	272	14	710	0.019337017
12	120697259	+	protein_coding	ENSG00000110917(MLEC)	10111	12	403	0.028915663
12	120737464	+	protein_coding	ENSG00000122971(ACADS)	11691	11	106	0.094017094
12	121002588	-	protein_coding	ENSG00000157895(C12orf43)	13915	10	49	0.169491525
12	121033581	-	protein_coding	ENSG00000135114(OASL)	5666	12	326	0.035502959
12	121626930	+	protein_coding	ENSG00000276045(ORAI1)	422	11	347	0.030726257
12	121779577	+	protein_coding	ENSG00000188735(TMEM120B)	66826	6	12	0.333333333
12	122364797	+	pseudogene	ENSG00000214760(RPL21P1)	16	3	3	0.5
12	122981426	+	protein_coding	ENSG00000182196(ARL6IP4)	1367	4	9	0.307692308
12	122982656	+	protein_coding	ENSG00000182196(ARL6IP4)	2597	25	1505	0.016339869
12	122982709	+	protein_coding	ENSG00000182196(ARL6IP4)	2650	20	861	0.022701476
12	122984707	-	protein_coding	ENSG00000090975(PITPNM2)	166384	7	5	0.583333333
12	123533716	-	protein_coding	ENSG00000188026(RILPL1)	4	9	39	0.1875
12	123533908	-	Other features	.	.	13	26	0.333333333
12	124012688	+	protein_coding	ENSG00000179195(ZNF664)	40844	21	772	0.026481715
12	124947093	-	protein_coding	ENSG00000150990(DHX37)	42039	10	232	0.041322314
12	130801488	-	protein_coding	ENSG00000111450(STX2)	37767	7	150	0.044585987
12	132029853	+	protein_coding	ENSG00000183495(EP400)	79912	6	100	0.056603774
12	132490270	+	protein_coding	ENSG00000112787(FBRSL1)	720	16	155	0.093567251
12	132508341	+	protein_coding	ENSG00000112787(FBRSL1)	18791	13	120	0.097744361
12	132661559	-	protein_coding	ENSG00000177084(POLE)	25818	6	62	0.088235294
13	19863561	-	protein_coding	ENSG00000132950(ZMYM5)	89	6	23	0.206896552
13	27424747	+	protein_coding	ENSG00000122034(GTF3A)	129	16	911	0.017259978
13	27424848	+	protein_coding	ENSG00000122034(GTF3A)	230	25	1088	0.022461815
13	30464272	-	protein_coding	ENSG00000189403(HMGB1)	153326	6	61	0.089552239
13	44576761	-	protein_coding	ENSG00000102804(TSC22D1)	387	8	144	0.052631579
13	45278842	-	Other features	.	.	30	488	0.057915058
13	47988641	-	protein_coding	ENSG00000136143(SUCLA2)	49328	19	1012	0.01842871
13	48081647	-	protein_coding	ENSG00000136146(MED4)	13485	41	543	0.070205479
13	48976836	+	protein_coding	ENSG00000102531(FNDC3A)	925	8	81	0.08988764
13	51452638	-	protein_coding	ENSG00000102786(INTS6)	1627	13	105	0.110169492
13	67266892	-	pseudogene	ENSG00000214263(RPSAP53)	815	5	13	0.277777778
13	73059467	+	protein_coding	ENSG00000102554(KLF5)	4492	13	109	0.106557377
13	82359889	-	Other features	.	.	17	0	1
13	95301166	+	Other features	.	.	3	1	0.75
13	95619510	+	Other features	.	.	7	24	0.225806452
13	96090505	+	protein_coding	ENSG00000185352(HS6ST3)	399	11	96	0.102803738
13	96090604	+	protein_coding	ENSG00000185352(HS6ST3)	498	6	16	0.272727273
13	98395326	+	protein_coding	ENSG00000152767(FARP1)	252765	10	61	0.14084507
13	98577046	-	protein_coding	ENSG00000102572(STK24)	895	13	182	0.066666667
13	110174661	-	protein_coding	ENSG00000187498(COL4A1)	132497	32	78	0.290909091
13	110183213	-	protein_coding	ENSG00000187498(COL4A1)	123945	7	161	0.041666667
13	110508153	+	protein_coding	ENSG00000134871(COL4A2)	202342	16	335	0.045584046
13	110721493	+	protein_coding	ENSG00000153487(ING1)	8758	4	16	0.2
13	110879210	-	protein_coding	ENSG00000088448(ANKRD10)	35860	15	272	0.052264808
13	110914890	-	protein_coding	ENSG00000088448(ANKRD10)	180	33	36	0.47826087
13	112878399	+	protein_coding	ENSG00000068650(ATP11A)	188362	7	77	0.083333333
13	113209134	+	protein_coding	ENSG00000139842(CUL4A)	942	7	66	0.095890411
13	113323347	+	protein_coding	ENSG00000185896(LAMP1)	26109	34	1755	0.019005031
13	113838821	+	lncRNA	ENSG00000233695(GAS6-AS1)	23192	9	21	0.3
14	20343234	-	lncRNA	ENSG00000259001	452	7	26	0.212121212
14	21098517	-	protein_coding	ENSG00000165804(ZNF219)	6206	12	71	0.144578313
14	22876167	+	protein_coding	ENSG00000197324(LRP10)	4428	20	358	0.052910053
14	22901331	-	protein_coding	ENSG00000100461(RBM23)	17852	37	326	0.101928375
14	22946574	-	protein_coding	ENSG00000092036(HAUS4)	10588	10	390	0.025
14	22973490	-	protein_coding	ENSG00000129474(AJUBA)	9062	27	691	0.037604457
14	22981608	-	protein_coding	ENSG00000129474(AJUBA)	944	11	527	0.020446097
14	23033459	-	protein_coding	ENSG00000100804(PSMB5)	1772	27	1740	0.015280136
14	23301670	-	protein_coding	ENSG00000235194(PPP1R3E)	1190	5	11	0.3125
14	23953853	+	protein_coding	ENSG00000157326(DHRS4)	120	19	147	0.114457831
14	24216984	-	protein_coding	ENSG00000129559(NEDD8)	15384	39	2271	0.016883117
14	24216985	-	protein_coding	ENSG00000129559(NEDD8)	15383	168	2184	0.071428571
14	24311267	+	protein_coding	ENSG00000213906(LTB4R2)	5534	8	5	0.615384615
14	31207110	-	protein_coding	ENSG00000092148(HECTD1)	695	33	57	0.366666667
14	39432126	-	protein_coding	ENSG00000165355(FBXO33)	341	6	88	0.063829787
14	55138061	+	protein_coding	ENSG00000131981(LGALS3)	13952	36	1211	0.028869286
14	55616579	+	protein_coding	ENSG00000126777(KTN1)	57508	35	821	0.04088785
14	60153976	-	protein_coding	ENSG00000100612(DHRS7)	15881	40	322	0.110497238
14	61831744	-	Other features	ENSG00000258956(COX4I1P1)	.	4	13	0.235294118
14	67677393	-	protein_coding	ENSG00000072042(RDH11)	18401	8	210	0.036697248
14	69209634	+	protein_coding	ENSG00000081177(EXD2)	18137	10	89	0.101010101
14	73950386	+	protein_coding	ENSG00000119723(COQ6)	461	21	110	0.160305344
14	73964584	-	protein_coding	ENSG00000187097(ENTPD5)	54816	5	36	0.12195122
14	75437988	+	protein_coding	ENSG00000140044(JDP2)	10273	26	198	0.116071429
14	76787750	-	protein_coding	ENSG00000013523(ANGEL1)	38497	8	106	0.070175439
14	77320779	-	protein_coding	ENSG00000009830(POMT2)	105	85	21	0.801886792
14	77320780	-	protein_coding	ENSG00000009830(POMT2)	104	10	100	0.090909091
14	89417751	+	lncRNA	ENSG00000258920(FOXN3-AS1)	398	23	39	0.370967742
14	90766787	+	pseudogene	ENSG00000213315	257	12	27	0.307692308
14	92162992	+	protein_coding	ENSG00000165934(CPSF2)	41024	8	53	0.131147541
14	92704223	-	protein_coding	ENSG00000100600(LGMN)	44457	7	175	0.038461538
14	92748543	-	protein_coding	ENSG00000100600(LGMN)	137	29	253	0.102836879
14	100239339	+	protein_coding	ENSG00000100811(YY1)	1042	12	592	0.01986755
14	100279890	+	protein_coding	ENSG00000100811(YY1)	41593	8	247	0.031372549
14	100281408	+	protein_coding	ENSG00000100811(YY1)	43111	7	152	0.044025157
14	100333974	-	protein_coding	ENSG00000140105(WARS1)	42832	25	603	0.039808917
14	102015990	+	protein_coding	ENSG00000197102(DYNC1H1)	51418	24	323	0.069164265
14	102049560	+	protein_coding	ENSG00000197102(DYNC1H1)	84988	12	616	0.01910828
14	102348513	-	protein_coding	ENSG00000100865(CINP)	14404	160	283	0.361173815
14	102507560	-	protein_coding	ENSG00000156381(ANKRD9)	2240	25	286	0.080385852
14	103385551	+	protein_coding	ENSG00000075413(MARK3)	175	20	141	0.124223602
14	103520002	-	protein_coding	ENSG00000166165(CKB)	2832	27	2533	0.010546875
14	103521377	-	protein_coding	ENSG00000166165(CKB)	1457	45	6883	0.006495381
14	103571639	+	protein_coding	ENSG00000256500	8678	19	250	0.07063197
14	103697901	-	protein_coding	ENSG00000126215(XRCC3)	17604	16	89	0.152380952
14	103697968	-	protein_coding	ENSG00000126215(XRCC3)	17537	5	22	0.185185185
14	104176428	+	protein_coding	ENSG00000066735(KIF26A)	39975	17	270	0.059233449
14	104176786	+	protein_coding	ENSG00000066735(KIF26A)	40333	21	88	0.19266055
14	104177822	+	protein_coding	ENSG00000066735(KIF26A)	41369	9	173	0.049450549
14	104865335	+	protein_coding	ENSG00000099814(CEP170B)	68	11	13	0.458333333
14	104889456	+	protein_coding	ENSG00000099814(CEP170B)	24189	6	25	0.193548387
14	104894763	+	protein_coding	ENSG00000099814(CEP170B)	29496	25	78	0.242718447
14	104978271	-	protein_coding	ENSG00000185567(AHNAK2)	104	5	52	0.087719298
14	105348578	+	protein_coding	ENSG00000179364(PACS2)	48016	7	127	0.052238806
14	105479793	+	protein_coding	ENSG00000182809(CRIP2)	6832	9	165	0.051724138
15	22917800	-	protein_coding	ENSG00000273749(CYFIP1)	63264	11	534	0.020183486
15	24977871	+	protein_coding	ENSG00000128739(SNRPN)	154235	14	748	0.018372703
15	24978286	+	protein_coding	ENSG00000128739(SNRPN)	154650	38	861	0.042269188
15	40593850	-	Other features	.	.	18	5	0.782608696
15	40737150	-	protein_coding	ENSG00000137824(RMDN3)	18702	19	591	0.031147541
15	40737645	-	protein_coding	ENSG00000137824(RMDN3)	18207	9	325	0.026946108
15	40767410	+	protein_coding	ENSG00000137880(GCHFR)	3343	11	189	0.055
15	41900038	-	protein_coding	ENSG00000103966(EHD4)	72520	9	166	0.051428571
15	43133880	+	protein_coding	ENSG00000137842(TMEM62)	10602	6	82	0.068181818
15	43376598	+	protein_coding	ENSG00000137822(TUBGCP4)	7378	9	294	0.02970297
15	45198607	-	protein_coding	ENSG00000138606(SHF)	2569	3	3	0.5
15	45200414	-	protein_coding	ENSG00000138606(SHF)	762	69	83	0.453947368
15	45200437	-	protein_coding	ENSG00000138606(SHF)	739	8	37	0.177777778
15	45403134	+	protein_coding	ENSG00000171763(SPATA5L1)	799	6	46	0.115384615
15	47730476	-	pseudogene	ENSG00000213862(RPL7AP62)	460	8	11	0.421052632
15	48331650	+	protein_coding	ENSG00000128951(DUT)	640	21	579	0.035
15	52046735	+	protein_coding	ENSG00000069956(MAPK6)	94630	17	361	0.044973545
15	52433280	-	protein_coding	ENSG00000197535(MYO5A)	95853	18	128	0.123287671
15	52937425	-	pseudogene	ENSG00000259612(EEF1A1P22)	1094	3	1	0.75
15	55359405	-	protein_coding	ENSG00000260916(CCPG1)	49106	16	532	0.02919708
15	59117357	+	protein_coding	ENSG00000157456(CCNB2)	12232	31	1674	0.018181818
15	59136365	-	protein_coding	ENSG00000157483(MYO1E)	236507	5	29	0.147058824
15	59662484	-	protein_coding	ENSG00000140299(BNIP2)	26856	37	68	0.352380952
15	63153856	-	protein_coding	ENSG00000185088(RPS27L)	4166	8	167	0.045714286
15	63157482	-	protein_coding	ENSG00000185088(RPS27L)	540	70	209	0.250896057
15	64529474	-	pseudogene	ENSG00000248415(GAPDHP61)	198	6	12	0.333333333
15	64955329	-	Other features	ENSG00000090487(SPG21)	.	6	40	0.130434783
15	64963458	-	protein_coding	ENSG00000090487(SPG21)	26853	37	324	0.102493075
15	66352177	-	protein_coding	ENSG00000075131(TIPIN)	34570	19	220	0.079497908
15	66386951	+	protein_coding	ENSG00000169032(MAP2K1)	115	13	65	0.166666667
15	68209682	-	protein_coding	ENSG00000128973(CLN6)	47530	14	325	0.041297935
15	72731402	+	protein_coding	ENSG00000140463(BBS4)	45224	6	36	0.142857143
15	74449961	-	protein_coding	ENSG00000138629(UBL7)	11222	11	261	0.040441176
15	74449972	-	protein_coding	ENSG00000138629(UBL7)	11211	9	262	0.033210332
15	74458714	-	protein_coding	ENSG00000138629(UBL7)	2469	41	533	0.071428571
15	74631046	-	protein_coding	ENSG00000179151(EDC3)	65247	67	86	0.437908497
15	74902718	-	protein_coding	ENSG00000178761(FAM219B)	4166	8	199	0.038647343
15	74937957	-	protein_coding	ENSG00000178741(COX5A)	127	66	4594	0.01416309
15	74956500	-	protein_coding	ENSG00000178718(RPP25)	273	18	265	0.06360424
15	75023305	+	Other features	.	.	9	296	0.029508197
15	75843461	+	protein_coding	ENSG00000140367(UBE2Q2)	155	5	24	0.172413793
15	76215624	-	protein_coding	ENSG00000140374(ETFA)	96107	4	21	0.16
15	77046030	-	protein_coding	ENSG00000140391(TSPAN3)	37955	5	52	0.087719298
15	77052788	-	protein_coding	ENSG00000140391(TSPAN3)	31197	28	1961	0.014077426
15	77071006	-	protein_coding	ENSG00000140391(TSPAN3)	12979	33	1775	0.018252212
15	78292624	-	protein_coding	ENSG00000140395(WDR61)	7080	90	1018	0.081227437
15	80695750	+	protein_coding	ENSG00000136379(ABHD17C)	16067	9	249	0.034883721
15	82536753	-	protein_coding	ENSG00000182774(RPS17)	3707	11	409	0.026190476
15	83207604	-	protein_coding	ENSG00000166503(HDGFL3)	220	9	131	0.064285714
15	85138715	+	protein_coding	ENSG00000073417(PDE8A)	158276	98	125	0.439461883
15	85760934	-	protein_coding	ENSG00000183655(KLHL25)	33992	4	11	0.266666667
15	89898816	-	protein_coding	ENSG00000242498(ARPIN)	14137	5	32	0.135135135
15	89898836	-	protein_coding	ENSG00000242498(ARPIN)	14117	21	53	0.283783784
15	90080066	+	protein_coding	ENSG00000140548(ZNF710)	78743	5	29	0.147058824
15	90879900	+	protein_coding	ENSG00000140564(FURIN)	11313	10	284	0.034013605
15	90882311	+	protein_coding	ENSG00000140564(FURIN)	13724	41	18	0.694915254
15	90903361	+	protein_coding	ENSG00000196547(MAN2A2)	1144	9	92	0.089108911
16	85534	+	protein_coding	ENSG00000103152(MPG)	8528	13	576	0.022071307
16	352508	-	protein_coding	ENSG00000103126(AXIN1)	216	9	229	0.037815126
16	492396	+	protein_coding	ENSG00000090565(RAB11FIP3)	66748	13	238	0.051792829
16	521112	+	protein_coding	ENSG00000090565(RAB11FIP3)	95464	29	93	0.237704918
16	521911	+	protein_coding	ENSG00000090565(RAB11FIP3)	96263	14	36	0.28
16	547030	+	protein_coding	ENSG00000103326(CAPN15)	19319	6	95	0.059405941
16	547453	+	protein_coding	ENSG00000103326(CAPN15)	19742	11	56	0.164179104
16	548040	+	protein_coding	ENSG00000103326(CAPN15)	20329	8	154	0.049382716
16	570038	+	protein_coding	ENSG00000007541(PIGQ)	3044	75	89	0.457317073
16	634891	-	protein_coding	ENSG00000130731(METTL26)	1476	14	844	0.016317016
16	635719	-	protein_coding	ENSG00000130731(METTL26)	648	10	423	0.023094688
16	636195	-	protein_coding	ENSG00000130731(METTL26)	172	28	1217	0.02248996
16	642483	+	protein_coding	ENSG00000172366(MCRIP2)	5667	4	16	0.2
16	650606	+	protein_coding	ENSG00000161996(WDR90)	1296	6	41	0.127659574
16	656388	+	protein_coding	ENSG00000161996(WDR90)	7078	6	39	0.133333333
16	665799	+	protein_coding	ENSG00000161996(WDR90)	16489	6	92	0.06122449
16	667579	+	protein_coding	ENSG00000161996(WDR90)	18269	6	87	0.064516129
16	681472	+	protein_coding	ENSG00000103266(STUB1)	1249	106	1915	0.052449283
16	694342	-	protein_coding	ENSG00000127585(FBXL16)	11467	17	80	0.175257732
16	715179	+	protein_coding	ENSG00000103260(METRN)	62	5	24	0.172413793
16	717188	+	protein_coding	ENSG00000103260(METRN)	2071	9	229	0.037815126
16	764682	+	protein_coding	ENSG00000102854(MSLN)	3949	12	390	0.029850746
16	787456	-	protein_coding	ENSG00000007376(RPUSD1)	942	16	512	0.03030303
16	792746	+	protein_coding	ENSG00000127586(CHTF18)	4701	7	109	0.060344828
16	1362531	+	protein_coding	ENSG00000090581(GNPTG)	10601	21	243	0.079545455
16	1364687	-	protein_coding	ENSG00000059145(UNKL)	50065	15	63	0.192307692
16	1445764	-	protein_coding	ENSG00000103249(CLCN7)	29314	53	78	0.404580153
16	1785423	+	protein_coding	ENSG00000095906(NUBP2)	2492	5	12	0.294117647
16	1788739	+	protein_coding	ENSG00000095906(NUBP2)	5808	15	853	0.017281106
16	1977166	+	protein_coding	ENSG00000183751(TBL3)	5114	26	232	0.100775194
16	2175896	+	protein_coding	ENSG00000131653(TRAF7)	20199	86	338	0.202830189
16	2176359	+	protein_coding	ENSG00000131653(TRAF7)	20662	36	306	0.105263158
16	2176654	+	protein_coding	ENSG00000131653(TRAF7)	20957	6	67	0.082191781
16	2177935	+	protein_coding	ENSG00000131653(TRAF7)	22238	30	260	0.103448276
16	2208940	+	protein_coding	ENSG00000167965(MLST8)	4693	19	634	0.029096478
16	2264940	-	protein_coding	ENSG00000205937(RNPS1)	3458	4	20	0.166666667
16	2456714	+	protein_coding	ENSG00000162063(CCNF)	27321	18	181	0.090452261
16	2527948	+	protein_coding	ENSG00000162066(AMDHD2)	7592	9	163	0.052325581
16	2527949	+	protein_coding	ENSG00000162066(AMDHD2)	7593	8	161	0.047337278
16	2708081	+	protein_coding	ENSG00000167977(KCTD5)	25559	10	262	0.036764706
16	2896566	+	protein_coding	ENSG00000162076(FLYWCH2)	13354	12	299	0.038585209
16	2949622	+	protein_coding	ENSG00000059122(FLYWCH1)	37692	11	132	0.076923077
16	2967119	+	protein_coding	ENSG00000131650(KREMEN2)	2904	28	0	1
16	2976758	-	protein_coding	ENSG00000127564(PKMYT1)	3722	12	405	0.028776978
16	3004275	+	protein_coding	ENSG00000289281	144	3	4	0.428571429
16	3022004	+	protein_coding	ENSG00000006327(TNFRSF12A)	3560	27	1695	0.015679443
16	3371146	-	Other features	ENSG00000262118(MTCO1P28)	.	3	0	1
16	4456199	+	protein_coding	ENSG00000103423(DNAJA3)	30395	23	902	0.024864865
16	4474432	-	protein_coding	ENSG00000153406(NMRAL1)	21332	11	288	0.036789298
16	4513002	-	protein_coding	ENSG00000089486(CDIP1)	25827	22	32	0.407407407
16	4847602	+	protein_coding	ENSG00000118900(UBN1)	938	16	46	0.258064516
16	8963360	-	protein_coding	ENSG00000187555(USP7)	11969	11	289	0.036666667
16	16141676	+	protein_coding	ENSG00000103222(ABCC1)	192539	7	142	0.046979866
16	18809409	-	protein_coding	ENSG00000157106(SMG1)	117000	18	252	0.066666667
16	19704807	-	protein_coding	ENSG00000103550(KNOP1)	13429	5	54	0.084745763
16	21599710	+	protein_coding	ENSG00000197006(METTL9)	2493	38	443	0.079002079
16	23523236	-	protein_coding	ENSG00000103356(EARS2)	34496	21	111	0.159090909
16	23596195	-	protein_coding	ENSG00000004779(NDUFAB1)	122	26	2243	0.011458792
16	27461530	-	protein_coding	ENSG00000077235(GTF3C1)	88384	29	224	0.114624506
16	28211785	-	protein_coding	ENSG00000169180(XPO6)	181	34	265	0.113712375
16	28842788	-	protein_coding	ENSG00000178952(TUFM)	3561	15	581	0.025167785
16	28846065	-	protein_coding	ENSG00000178952(TUFM)	284	31	3329	0.00922619
16	29694761	+	protein_coding	ENSG00000103485(QPRT)	31483	54	717	0.070038911
16	29694802	+	protein_coding	ENSG00000103485(QPRT)	31524	13	572	0.022222222
16	29806489	+	protein_coding	ENSG00000103495(MAZ)	384	11	375	0.028497409
16	29806635	+	protein_coding	ENSG00000103495(MAZ)	530	47	783	0.056626506
16	29807125	+	protein_coding	ENSG00000103495(MAZ)	1020	133	1965	0.063393708
16	29807401	+	protein_coding	ENSG00000103495(MAZ)	1296	49	1861	0.02565445
16	29809707	+	protein_coding	ENSG00000103495(MAZ)	3602	11	422	0.025404157
16	29810937	+	protein_coding	ENSG00000103495(MAZ)	4832	7	73	0.0875
16	29876871	-	protein_coding	ENSG00000174938(SEZ6L2)	22680	6	45	0.117647059
16	29885649	-	protein_coding	ENSG00000174938(SEZ6L2)	13902	14	62	0.184210526
16	29901666	+	protein_coding	ENSG00000174939(ASPHD1)	1292	8	30	0.210526316
16	29968112	+	protein_coding	ENSG00000149932(TMEM219)	27228	79	125	0.387254902
16	30065795	+	protein_coding	ENSG00000149925(ALDOA)	1632	27	2913	0.009183673
16	30117206	-	protein_coding	ENSG00000102882(MAPK3)	6301	42	58	0.42
16	30370367	-	protein_coding	ENSG00000169221(TBC1D10B)	128	9	85	0.095744681
16	30782731	-	protein_coding	ENSG00000102870(ZNF629)	4475	9	59	0.132352941
16	30893993	-	protein_coding	ENSG00000099385(BCL7C)	310	11	139	0.073333333
16	31092787	-	protein_coding	ENSG00000167397(VKORC1)	3194	9	42	0.176470588
16	31508360	-	protein_coding	ENSG00000140688(RUSF1)	950	7	175	0.038461538
16	34160966	+	Other features	.	.	3	4	0.428571429
16	47143619	-	protein_coding	ENSG00000171208(NETO2)	327	54	375	0.125874126
16	56748306	+	protein_coding	ENSG00000102900(NUP93)	18189	31	903	0.033190578
16	57529236	-	protein_coding	ENSG00000135736(CCDC102A)	7336	20	168	0.106382979
16	57664058	+	protein_coding	ENSG00000205336(ADGRG1)	53407	11	160	0.064327485
